pleiades_id,en,zh,source,note
# 中文译名对照表 / Chinese place-name table
#
# 用法：每行一个地点。pleiades_id 为准，en 仅供人工核对。
#   pleiades_id  Pleiades 地名 id（地图以此为准，必填）
#   en           英文/拉丁转写（人工核对用，程序不依赖）
#   zh           中文译名（可用 / 分隔多个异译，第一个为首选）
#   source       译名来源，例如：徐松岩《历史》索引 / 徐松岩《伯罗奔尼撒战争史》 /
#                徐松岩《希腊史》 / 通用 / 待核
#   note         备注，可留空
#
# 以 # 开头的行会被忽略。source 留空或标「待核」的条目会在运行时提示。
#
# 内容：Pleiades id 与中文地名的对照。译名取自徐松岩译本索引（事实性对应），
# 不包含译本正文或注释文字。Wikidata 行为 CC0。
481798,Dardania,达尔达尼亚王国,Wikidata,Q11916620 · 1 mention(s)
786089,Philae,菲莱/菲莱神殿,Wikidata,Q245062 · 1 mention(s)
805630,Meroe,麦罗伊,徐松岩《历史》2018修订本索引,城市，在尼罗河岸边，埃塞俄比亚的首都
845036,Parthenios (river),帕耳忒尼俄斯河,Wikidata,Q2886191 · 1 mention(s)
462279,Leontini,列昂提尼,徐松岩《历史》2018修订本索引,城镇，在西西里
383627,Comum,科莫,Wikidata,Q1308 · 1 mention(s)
403280,Telamon,塔拉莫,Wikidata,Q2073211 · 1 mention(s)
442618,Iapyges,雅皮吉人,Wikidata,Q841576 · 1 mention(s)
442733,Poseidonia/Paestum,波塞冬尼亚,徐松岩《历史》2018修订本索引,亦即派斯通(Paestum），在意大利
354116,Garamantes,加拉曼特人/加拉曼提人,Wikidata,Q839034 · 1 mention(s)
857350,Themiskyra,特弥斯库拉,Wikidata,Q122875 · 1 mention(s)
202833934,Sumer,苏美尔/蘇美人,Wikidata,Q35355 · 1 mention(s)
599641,Heraion,赫莱昂,徐松岩《历史》2018修订本索引,城镇
599745,Labraunda,拉布朗达,徐松岩《历史》2018修订本索引,城市，在卡里亚
550691,Lekton/Lectum,巴巴角,Wikidata,Q527902 · 1 mention(s)
540583,Abantes,阿班忒斯人,Wikidata,Q305516 · 1 mention(s)
520988,Chalcedon,迦克墩/迦克敦,Wikidata,Q337381 · 1 mention(s)
639051,Phaselis,法塞里斯,徐松岩《历史》2018修订本索引,多利斯人的城邦，在小亚细亚
668197,Arados,阿拉都斯,徐松岩《历史》2018修订本索引,腓尼基的一个城市
501336,Aigospotamos,埃戈斯溪,Wikidata,Q404513 · 1 mention(s)
491687,Pella/Diokletianoupolis,培拉,徐松岩《历史》2018修订本索引,城镇，在马其顿
786123,Syene,阿斯旺,Wikidata,Q29888 · 1 mention(s)
589872,Knosos/Col. Iulia Nobilis Cnosos,克诺索斯/诺索斯,Wikidata,Q173527 · 1 mention(s)
540740,Doris,多利斯,徐松岩《历史》2018修订本索引,
50004,India,印度,徐松岩《历史》2018修订本索引,
579925,Eretria (Euboea),爱利特里亚,徐松岩《历史》2018修订本索引,
857287,Pontus,滂图斯,徐松岩《历史》2018修订本索引,黑海 面积的测量 商埠 滂图斯的希腊人 滂图斯树
570129,Asopos,阿索普斯,徐松岩《历史》2018修订本索引,（ 1) 河流，在波奥提亚
599971,Thera,锡拉岛,徐松岩《历史》2018修订本索引,
226545,Borysthenes (island),波里斯提尼,徐松岩《历史》2018修订本索引,（2） 城镇，据说是米利都的殖民地 商业地位
550759,Mysia (region),美西亚,徐松岩《历史》2018修订本索引,凯奥斯在美西亚
550763,Mytilene,米提列涅,徐松岩《历史》2018修订本索引,"埃奥利斯人的城邦，在列斯堡岛 37,95 米提列"
